filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2008,2013,USA,CAN,n.a.,n.a.,n.a.,n.a.,Apotex Inc v. United States of America (2008),UNCITRAL,n.a.,NAFTA,Pharmaceuticals,MFG,Two claims of US$8m,16,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2009,2013,USA,CAN,n.a.,n.a.,n.a.,n.a.,Apotex Inc v. United States of America (2009),UNCITRAL,n.a.,NAFTA,Pharmaceuticals,MFG,US$8m,8,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2009,pending,USA,MEX,n.a.,n.a.,n.a.,n.a.,CANACAR v. United States of America,UNCITRAL,n.a.,NAFTA,Services (trucking),SER,"In notice of arbitration, estimates loss at more than US$2b per year (and Mexico accordingly imposed tariffs on US$2.4b in US goods). So: included here as 1 year's losses (US$2b)",2000,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2007,USA,CAN,n.a.,n.a.,n.a.,n.a.,"Canfor Corporation v. United States (consolidated into ""Softwood Lumber Consolidated Proceeding"" 2005)",UNCITRAL,n.a.,NAFTA,Agricultural enterprise (forestry),AGR,Not less than US$250m,250,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2003,2006,USA,CAN,n.a.,n.a.,n.a.,n.a.,"Tembec Inc., et al v. United States of America (consolidated into ""Softwood Lumber Consolidated Proceeding"" 2005)",UNCITRAL,n.a.,NAFTA,Agricultural enterprise (forestry),AGR,Not less than US$200m,200,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2004,2007,USA,CAN,n.a.,n.a.,n.a.,n.a.,"Terminal Forest Products Ltd. v. United States of America (consolidated ""Softwood Lumber Consolidated Proceeding"" 2005)",UNCITRAL,n.a.,NAFTA,Agricultural enterprise (forestry),AGR,Not less than US$90m,90,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2007,pending,USA,CAN,n.a.,n.a.,n.a.,n.a.,Domtar Inc. v. United States of America,UNCITRAL,n.a.,NAFTA,Manufacturing (paper),MFG,US$200m,200,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2003,2009,USA,CAN,n.a.,n.a.,n.a.,n.a.,Glamis Gold Ltd. v. United States of America,UNCITRAL,n.a.,NAFTA,Mining (gold),MIN,Not less than US$50m,50,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2004,2011,USA,CAN,n.a.,n.a.,n.a.,n.a.,"Grand River Enterprises Six Nations Ltd, et al v. United States of America",UNCITRAL,n.a.,NAFTA,"Manufacturing (cigarettes, tobacco)",MFG,Not less than US$340m,340,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2002,2007,USA,CAN,n.a.,n.a.,n.a.,n.a.,Kenex Ltd. v. United States of America,UNCITRAL,n.a.,NAFTA,Agricultural enterprise (hemp),AGR,Not less than US$20m,20,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2005,USA,CAN,n.a.,n.a.,n.a.,n.a.,Methanex Corp. v. United States of America,UNCITRAL,n.a.,NAFTA,Manufacturing (MBTE gasoline additive),MFG,US$970m including interest and costs,970,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
1999,2002,USA,CAN,n.a.,n.a.,n.a.,n.a.,Mondev International Ltd. v. United States of America,ICSID AF,ARB(AF)/99/2,NAFTA,Real estate (commercial),RE,not less than US$50m,50,yes,state,0,0,no,n.a.,n.a.,n.a.
1998,2003,USA,CAN,n.a.,n.a.,n.a.,n.a.,The Loewen Group Inc. and Raymond L. Loewen v. United States of America,ICSID AF,ARB(AF)/98/3,NAFTA,Funeral home operation,SER,Not less than US$725m,725,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2008,USA,CAN,n.a.,n.a.,n.a.,n.a.,"Canadian Cattlemen for Fair Trade (Theodorus de Boer, et al [107 claimants]) v. United States of America",UNCITRAL,n.a.,NAFTA,Agricultural enterprise (cattle),AGR,Approximately US$235m,235,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2009,2013,MEX,ESP,n.a.,n.a.,n.a.,n.a.,"Abengoa, S.A. y COFIDES, S.A. v. United Mexican States",ICSID AF,ARB(AF)/09/2,Mexico-Spain BIT,Waste management (hazardous),SER,unknown,unknown,yes,investor,"Mexican Pesos 491809534, plus interest",37.7,no,n.a.,n.a.,n.a.
2001,2006,MEX,USA,n.a.,n.a.,n.a.,n.a.,"Adams, et al v. United Mexican States",PCA,n.a.,NAFTA,Tourism,SER,Approximately US$75m,75,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2007,MEX,USA,n.a.,n.a.,n.a.,n.a.,"Archer Daniels Midland and Tate and Lyle Ingredients Americas, Inc. v. United Mexican States ",ICSID AF,ARB(AF)/04/5,NAFTA,Manufacturing (sweeteners),MFG,US$100m,100,yes,investor,"US$33510091, plus interest",33.5,no,n.a.,n.a.,n.a.
2005,2007,MEX,CAN,n.a.,n.a.,n.a.,n.a.,"Bayview Irrigation District, et al v. United Mexican States ",ICSID AF,ARB(AF)/05/1,NAFTA,Agricultural enterprise,AGR,Up to US$667687930,667.7,yes,state,0,0,no,n.a.,n.a.,n.a.
2002,2010,MEX,USA,n.a.,n.a.,n.a.,n.a.,Calmark Commercial Development Inc. v. the United Mexican States,UNCITRAL,n.a.,NAFTA,Real estate,RE,US$400000 plus interest,0.4,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2009,MEX,CAN,n.a.,n.a.,n.a.,n.a.,Cargill Incorporated v. United Mexican States,ICSID AF,ARB(AF)/05/2 ,NAFTA,Manufacturing (sweeteners),MFG,US$100m,100,yes,investor,US$77329240; Respondent to pay full cost of arbitration and half of Claimant's legal costs,77.3,no,n.a.,n.a.,n.a.
2013,2014,MEX,ESP,n.a.,n.a.,n.a.,n.a.,"Cemusa - Corporacion Europea de Mobiliario Urbano, S.A. and Corporacion Americana de Equipamientos Urbanos, S.L. v. United Mexican States",ICSID,ARB(AF)/13/2,Spain-Mexico BIT,Media (advertising),SER,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2009,MEX,USA,n.a.,n.a.,n.a.,n.a.,"Corn Products International, Inc. v. United Mexican States ",ICSID AF,ARB(AF)/04/1,NAFTA,Manufacturing (sweeteners),MFG,US$325m,325,yes,investor,About US$58m,58,no,n.a.,n.a.,n.a.
2013,pending,MEX,FRA,n.a.,n.a.,n.a.,n.a.,Degremont v. United Mexican States,unknown,n.a.,Mexico-France BIT,Wastewater treatment services,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,MEX,ESP,n.a.,n.a.,n.a.,n.a.,"FCC Construccion, S.A. v. United Mexican States",unknown,n.a.,Mexico-Spain BIT,"Tunnel (build, operate)",UTL,MXN1299m,100.4,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MEX,PAN,n.a.,n.a.,n.a.,n.a.,Livsmart Holdings v. United Mexican States,unknown,n.a.,Mexico-Panama BIT,Import (beverages),SER,US$15m,15,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,MEX,USA,n.a.,n.a.,n.a.,n.a.,KBR Inc. v. United Mexican States,ICC,n.a.,NAFTA,Oil and gas,OIL,US$400m,400,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2006,MEX,USA,n.a.,n.a.,n.a.,n.a.,Fireman's Fund Insurance Company v. United Mexican States,ICSID AF,ARB(AF)/02/1,NAFTA,Finance (debt instruments),FIN,US$50m,50,yes,state,0,0,no,n.a.,n.a.,n.a.
2002,2004,MEX,USA,n.a.,n.a.,n.a.,n.a.,GAMI Investments v. United Mexican States,UNCITRAL,n.a.,NAFTA,Agricultural enterprise (sugar),AGR,US$27.8m,27.8,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2004,2010,MEX,FRA,n.a.,n.a.,n.a.,n.a.,"Gemplus S.A., SLP S.A., Gemplus Industrial S.A. de C.V.  v. United Mexican States ",ICSID AF,ARB(AF)/04/3 (conjoined with ARB (AF)/04/4),France-Mexico BIT,Operate national motor vehicle registry,SER,minimum claim is 20% of 222 million pesos or US$24m,4.8,yes,investor,US$4483164 plus interest and costs,4.5,no,n.a.,n.a.,n.a.
2004,2010,MEX,ARG,n.a.,n.a.,n.a.,n.a.,Talsud SA v. United Mexican States ,ICSID AF,ARB(AF)/04/4 (conjoined with ARB(AF)/04/3),Argentina-Mexico BIT,Operate national motor vehicle registry,SER,minimum claim is 29% of 222 million pesos or US$24m,7,yes,investor,US$6458721 plus interest and costs,6.5,no,n.a.,n.a.,n.a.
2002,2006,MEX,CAN,n.a.,n.a.,n.a.,n.a.,International Thunderbird Gaming Corporation v. United Mexican States,UNCITRAL,n.a.,NAFTA,Gaming,SER,Not less than US$100m,100,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
1999,2002,MEX,USA,n.a.,n.a.,n.a.,n.a.,Marvin Roy Feldman Karpa v. United Mexican States,ICSID AF,ARB(AF)/99/1,NAFTA,Import/Export (cigarettes),SER,US$50m,50,yes,investor,"Mexican Pesos 9464627.50, plus interest",0.9,no,n.a.,n.a.,n.a.
1997,2000,MEX,USA,n.a.,n.a.,n.a.,n.a.,Metalclad v. United Mexican States,ICSID AF,ARB(AF)/97/1,NAFTA,Waste management (hazardous),UTL,"US$90m and US$20-25m in interest, or US$20-25m and US$20-25m in interest (investor proposes two alternative methods for calculating damages)",20,yes,investor,"US$16685000 including interest (6% compounded annually for approximately 5 years), parties pay their own legal fees and split cost of arbitration ",16.7,no,n.a.,n.a.,n.a.
1997,1999,MEX,USA,n.a.,n.a.,n.a.,n.a.,"Robert Azinian, et al v. United Mexican States ",ICSID AF,ARB(AF)/97/2,"NAFTA, Contract",Waste management,SER,Up to US$19.2m,19.2,yes,state,0,0,no,n.a.,n.a.,n.a.
2002,2007,MEX,USA,n.a.,n.a.,n.a.,n.a.,Robert J. Frank v. United Mexican States,UNCITRAL,n.a.,NAFTA,Tourism,SER,US$1.5m,1.5,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2003,MEX,ESP,n.a.,n.a.,n.a.,n.a.,Tecnicas Medioambientales Tecmed v. United Mexican States,ICSID AF,ARB(AF)/00/2,Mexico-Spain BIT,Waste management,SER,US$52m plus interest,52,yes,investor,"US$5533017.12, plus compound interest (at annual rate of 6%, commencing 25 November 1998 until payment). Each party to pay their legal costs and costs of arbitration split.",5.5,no,n.a.,n.a.,n.a.
2012,pending,MEX,ESP,n.a.,n.a.,n.a.,n.a.,Telefonica S.A. v. United Mexican States,ICSID AF,ARB(AF)/12/4,Mexico-Spain BIT,Telecommunications (mobile),TEL,More than US$1b,1000,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1998,2000,MEX,USA,n.a.,n.a.,n.a.,n.a.,Waste Management v. United Mexican States (1st case),ICSID AF,ARB(AF)/98/2,NAFTA,Waste management,SER,"Not less than US$36m, plus costs",36,yes,state,0,0,no,n.a.,n.a.,n.a.
2014,pending,MEX,USA,n.a.,n.a.,n.a.,n.a.,B-Mex LLC et al v. United Mexican States,UNCITRAL,n.a.,NAFTA,Gaming,SER,US$100m,100,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2000,2004,MEX,USA,n.a.,n.a.,n.a.,n.a.,Waste Management v. United Mexican States (2nd case),ICSID AF,ARB(AF)/00/3,NAFTA,Waste management,SER,"Not less than US$36m, plus costs",36,yes,state,0,0,no,n.a.,n.a.,n.a.
2008,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Bilcon of Delaware et al v. Canada ,PCA,2009-4,NAFTA,Mining (quarrying),MIN,US$188m,188,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2010,CAN,USA,n.a.,n.a.,n.a.,n.a.,Crompton Corp. (Chemtura) v. Canada ,UNCITRAL,n.a.,NAFTA,Manufacturing (lindane),MFG,Approximately US$100m,100,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2013,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Eli Lilly v. Canada,UNCITRAL,n.a.,NAFTA,Pharmaceuticals enterprise,MFG,CAD500m,500,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1997,1998,CAN,USA,n.a.,n.a.,n.a.,n.a.,Ethyl Corp v. Canada,UNCITRAL,n.a.,NAFTA,Manufacturing (MMT gasoline additive),MFG,"Not less than US$251m, plus interest",251,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,2011,CAN,USA,n.a.,n.a.,n.a.,n.a.,GL Farms LLC and Carl Adams v. Government of Canada,UNCITRAL,n.a.,NAFTA,Import/Export (dairy),SER,US$78m plus costs,78,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Lone Pine Resources Inc. v. Canada,UNCITRAL,n.a.,NAFTA,Oil and gas (fracking),OIL,CAD250m,251.7,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Mercer International Inc. v. Canada,ICSID AF,ARB(AF)/12/3,NAFTA,Electric power concession (biomass),UTL,"CAD250m, plus costs, pre-award and post-award interest, and compensation for tax consequences of the award",250.3,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2006,2010,CAN,USA,n.a.,n.a.,n.a.,n.a.,Merrill & Ring Forestry LP v. Canada,UNCITRAL,n.a.,NAFTA,Agricultural enterprise (forestry),AGR,US$25m,25,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2011,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Mesa Power Group LLC v. Canada,PCA,2012-17,NAFTA,Electric power concession (wind),UTL,US$746m,746,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Mobil Investments Canada Inc. and Murphy Oil Corporation v. Canada ,ICSID AF,ARB(AF)/07/4,NAFTA,Oil and gas,OIL,Approximately US$60m,60,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1999,2002,CAN,USA,n.a.,n.a.,n.a.,n.a.,Pope & Talbot v. Canada,UNCITRAL,n.a.,NAFTA,Agricultural enterprise (lumber),AGR,US$507m,507,yes,investor,"US$461566, plus interest (from 31 May 2002 until payment at 5% per annum, compounded quarterly)",0.5,n.a.,n.a.,n.a.,n.a.
1998,2002,CAN,USA,n.a.,n.a.,n.a.,n.a.,S.D. Myers Inc. v. Canada,UNCITRAL,n.a.,NAFTA,Import/Export (PCB waste),SER,US$53m,53,yes,investor,"CAD6050000, plus interest",3.9,n.a.,n.a.,n.a.,n.a.
2000,2007,CAN,USA,n.a.,n.a.,n.a.,n.a.,United Parcel Service of America Inc. v. Canada,UNCITRAL,n.a.,NAFTA,Postal services,SER,Not less than US$160m,160,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2007,2011,CAN,USA,n.a.,n.a.,n.a.,n.a.,Vito G. Gallo v. Canada,PCA,55798,NAFTA,Waste management,SER,US$355100000 plus costs,355.1,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2013,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Windstream Energy LLC v. Canada,UNCITRAL,n.a.,NAFTA,Electric power concession (wind),UTL,CAD475m,478.2,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,2010,CAN,USA,n.a.,n.a.,n.a.,n.a.,AbitibiBowater Canadian Entities ,UNCITRAL,n.a.,NAFTA,Pulp and paper manufacturer (also owned and operated hydroelectric generation faciliites),MFG,CAD500m,467.5,yes,settlement,settlement for CAD130m,n.a.,n.a.,n.a.,n.a.,n.a.
2009,2010,CAN,USA,n.a.,n.a.,n.a.,n.a.,Centurion Health Corporation et al v. Canada,PCA,2009-21,NAFTA,Health (operating medical center),SER,US$160m,160,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2005,2005,CAN,USA,n.a.,n.a.,n.a.,n.a.,Contractual Obligations Productions LLC et al v. Canada,UNCITRAL,n.a.,NAFTA,"Television production (program for AMC called ""The Wrong Coast"")",SER,US$20m,20,yes,settlement,"settlement, but no indication of award",settlement,n.a.,n.a.,n.a.,n.a.
2011,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,Detroit International Bridge Company v. Canada,PCA,2012-25,NAFTA,"Bridge (build, operate, maintain, collect tolls)",UTL,US$3.5b,3500,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,2011,CAN,USA,n.a.,n.a.,n.a.,n.a.,Dow Agrosciences LLC v. Canada,UNCITRAL,n.a.,NAFTA,Manufacturing (specialty chemical products),MFG,US$2m,2,yes,settlement,"No monetary award, but Canada/Quebec withdraw the regulation and allow chemical to be sold",settlement,n.a.,n.a.,n.a.,n.a.
2014,pending,CAN,USA,n.a.,n.a.,n.a.,n.a.,J.M. Longyear LLC v. Canada,UNCITRAL,n.a.,NAFTA,Lumber,AGR,CAD12m,10.9,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,2011,CAN,USA,n.a.,n.a.,n.a.,n.a.,William Jay Greiner and Malbaie River Outfitters Inc v. Canada,UNCITRAL,n.a.,NAFTA,Tourism (hunting and fishing outfitting and trips in Quebec),SER,CAD8m,8.4,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2013,CAN,USA,n.a.,n.a.,n.a.,n.a.,St. Mary's VCNA LLC v. Canada,PCA,n.a.,NAFTA,Mining (quarrying),MIN,US$275m,275,yes,settlement,settlement (no payment disclosed in Consent Award),settlement,n.a.,n.a.,n.a.,n.a.
